cettirelink,matchlink,domain,category
https://www.cettire.com/au/products/bally-buck-double-wrapped-bracelet-916930951,https://www.farfetch.com/au/shopping/men/bally-logo-buckle-belt-item-27024063.aspx,www.farfetch.com,Accessories
https://www.cettire.com/au/products/bally-chunky-chain-bracelet-924701188,https://www.farfetch.com/au/shopping/women/bally-gold-tone-brass-bracelet-item-26896114.aspx,www.farfetch.com,Accessories
https://www.cettire.com/au/products/bally-logo-detailed-keychain-945857677,https://www.farfetch.com/au/shopping/men/bally-logo-print-leather-keyring-item-25785584.aspx,www.farfetch.com,Accessories
https://www.cettire.com/au/products/bally-bar-ellipse-logo-printed-crossbody-bag-933732273,NA,NA,Bags
https://www.cettire.com/au/products/bally-bar-mini-keep-on-tote-bag-933748110,https://www.farfetch.com/au/shopping/women/bally-bar-logo-print-tote-bag-item-23816521.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-bar-mini-keep-on-tote-bag-937750827,https://www.farfetch.com/au/shopping/women/bally-bar-logo-print-tote-bag-item-23816521.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-beckett-logo-printed-studded-shoulder-bag-953198891,https://www.bally.eu/en/products/beckett-minibag-in-black-leather-with-a-bally-pin-6311414/,www.bally.eu,Bags
https://www.cettire.com/au/products/bally-beckett-logo-stamp-crossbody-bag-956231678,https://www.bally.com.au/en/products/beckett-crossbody-bag-in-black-brushed-leather-6309900/,www.bally.com.au,Bags
https://www.cettire.com/au/products/bally-certhe-logo-printed-zipped-clutch-bag-917676304,https://www.farfetch.com/au/shopping/women/bally-certhe-logo-print-clutch-item-18724705.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-chain-linked-drawstring-bucket-bag-916922820,https://www.farfetch.com/au/shopping/women/bally-eoh-bucket-bag-item-26892304.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-chain-linked-drawstring-bucket-bag-916922822,https://www.farfetch.com/au/shopping/women/bally-eoh-bucket-bag-item-26892304.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-code-logo-printed-striped-briefcase-956938152,https://www.bally.com.au/en/products/code-briefcase-in-black-leather-6311802/,www.bally.com.au,Bags
https://www.cettire.com/au/products/bally-code-zipped-crossbody-bag-956937806,https://www.bally.com.au/en/products/code-crossbody-bag-in-black-leather-6311759/,www.bally.com.au,Bags
https://www.cettire.com/au/products/bally-crystalia-logo-printed-tote-bag-920875127,https://www.davidjones.com/product/bally-akelei-tote-north-south-tote-bag-26662161,www.davidjones.com,Bags
https://www.cettire.com/au/products/bally-crystalia-tote-bag-916930981,https://www.farfetch.com/au/shopping/women/bally-logo-print-tote-bag-item-26891721.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-deco-top-handle-bag-956232038,NA,NA,Bags
https://www.cettire.com/au/products/bally-deco-top-handle-bag-956232053,https://www.farfetch.com/in/shopping/women/bally-deco-leather-tote-bag-item-32029960.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-easy-top-handle-tote-bag-956024485,https://www.bally.com.au/en/products/easy-bally-tote-bag-in-black-leather-6312704/,www.bally.com.au,Bags
https://www.cettire.com/au/products/bally-emblem-quilted-small-clutch-bag-920764270,https://www.farfetch.com/au/shopping/women/bally-emblem-shoulder-bag-item-26894240.aspx,www.farfetch.com,Bags
